step,dataset,rows,f1_macro,f1_weighted,recall_macro,precision_macro,f1_macro_delta,recall_delta,precision_delta
baseline_raw,WoT,53701,0.4765,0.8608,0.553,0.4586,0.0,0.0,0.0
after_nonlatin_drop,WoT,49851,0.4946,0.8679,0.5919,0.4756,0.0181,0.0389,0.017
after_noneng_drop,WoT,49557,0.503,0.8681,0.6037,0.4862,0.0084,0.0118,0.0106
after_duplicates_removal,WoT,42259,0.4692,0.8671,0.5551,0.4631,-0.0338,-0.0486,-0.0231
after_duplicates_majority_map,WoT,49557,0.5211,0.877,0.6204,0.5036,0.0519,0.0653,0.0405
after_artifacts_removal,WoT,49386,0.5227,0.8766,0.6177,0.5094,0.0016,-0.0027,0.0058
after_labels_fix,WoT,49386,0.7886,0.9265,0.8545,0.7504,0.2659,0.2368,0.241
after_labels_fix_svc,WoT,49386,0.8126,0.9386,0.8381,0.8,0.024,-0.0164,0.0496
dota_baseline_raw,Dota,35887,0.7566,0.8709,0.7946,0.7318,,,
dota_after_nonlatin_drop,Dota,35869,0.7585,0.8715,0.7948,0.7344,0.0019,0.0002,0.0026
dota_after_noneng_drop,Dota,35813,0.7557,0.8703,0.7936,0.7306,-0.0028,-0.0012,-0.0038
dota_after_sepa_strip,Dota,35813,0.7667,0.8782,0.7921,0.7477,0.011,-0.0015,0.0171
dota_after_majority_map,Dota,35813,0.778,0.8843,0.8002,0.7611,0.0113,0.0081,0.0134
dota_after_labels_fix,Dota,35813,0.8764,0.9303,0.8865,0.8686,0.0984,0.0863,0.1075
dota_after_labels_fix_svc,Dota,35813,0.8973,0.9428,0.8723,0.9258,0.0209,-0.0142,0.0572
